"","size_mm","weight_g","rep","depth_cm","time_min","temp","myc","scle"
"1",15,0.054,1,NA,NA,27,3,3
"2",15,0.054,2,NA,NA,27,3,3
"3",15,0.054,3,NA,NA,27,3,3
"4",15,0.054,4,NA,NA,27,3,3
"5",25,0.222,1,NA,NA,27,3,3
"6",25,0.222,2,NA,NA,27,3,3
"7",25,0.222,3,NA,NA,27,3,3
"8",25,0.222,4,NA,NA,27,3,3
"9",35,0.67,1,NA,NA,27,3,3
"10",35,0.67,2,NA,NA,27,3,3
"11",35,0.67,3,NA,NA,27,3,3
"12",35,0.67,4,NA,NA,27,3,3
"13",45,1.31,1,NA,NA,27,3,3
"14",45,1.31,2,NA,NA,27,3,3
"15",45,1.31,3,NA,NA,27,3,3
"16",45,1.31,4,NA,NA,27,3,3
"17",15,0.054,1,0,5,125,3,0
"18",15,0.054,2,0,5,125,3,3
"19",15,0.054,3,0,5,125,3,3
"20",15,0.054,4,0,5,125,1,1
"21",25,0.222,1,0,5,125,3,3
"22",25,0.222,2,0,5,125,3,3
"23",25,0.222,3,0,5,125,3,3
"24",25,0.222,4,0,5,125,1,1
"25",35,0.67,1,0,5,125,3,3
"26",35,0.67,2,0,5,125,3,3
"27",35,0.67,3,0,5,125,3,3
"28",35,0.67,4,0,5,125,3,3
"29",45,1.31,1,0,5,125,3,3
"30",45,1.31,2,0,5,125,3,3
"31",45,1.31,3,0,5,125,3,3
"32",45,1.31,4,0,5,125,3,3
"33",15,0.054,1,0,10,125,3,3
"34",15,0.054,2,0,10,125,1,1
"35",15,0.054,3,0,10,125,3,3
"36",15,0.054,4,0,10,125,3,3
"37",25,0.222,1,0,10,125,3,3
"38",25,0.222,2,0,10,125,3,3
"39",25,0.222,3,0,10,125,3,3
"40",25,0.222,4,0,10,125,3,3
"41",35,0.67,1,0,10,125,3,3
"42",35,0.67,2,0,10,125,3,3
"43",35,0.67,3,0,10,125,3,3
"44",35,0.67,4,0,10,125,3,3
"45",45,1.31,1,0,10,125,3,3
"46",45,1.31,2,0,10,125,3,3
"47",45,1.31,3,0,10,125,3,3
"48",45,1.31,4,0,10,125,3,3
"49",15,0.054,1,0,15,125,0,0
"50",15,0.054,2,0,15,125,0,0
"51",15,0.054,3,0,15,125,1,1
"52",15,0.054,4,0,15,125,2,0
"53",25,0.222,1,0,15,125,3,3
"54",25,0.222,2,0,15,125,2,0
"55",25,0.222,3,0,15,125,0,0
"56",25,0.222,4,0,15,125,3,3
"57",35,0.67,1,0,15,125,3,3
"58",35,0.67,2,0,15,125,3,3
"59",35,0.67,3,0,15,125,3,3
"60",35,0.67,4,0,15,125,3,3
"61",45,1.31,1,0,15,125,3,3
"62",45,1.31,2,0,15,125,3,3
"63",45,1.31,3,0,15,125,3,3
"64",45,1.31,4,0,15,125,3,3
"65",15,0.054,1,5,5,125,1,1
"66",15,0.054,2,5,5,125,3,3
"67",15,0.054,3,5,5,125,1,1
"68",15,0.054,4,5,5,125,1,1
"69",25,0.222,1,5,5,125,3,3
"70",25,0.222,2,5,5,125,3,3
"71",25,0.222,3,5,5,125,3,3
"72",25,0.222,4,5,5,125,3,3
"73",35,0.67,1,5,5,125,3,3
"74",35,0.67,2,5,5,125,3,3
"75",35,0.67,3,5,5,125,3,3
"76",35,0.67,4,5,5,125,3,3
"77",45,1.31,1,5,5,125,3,3
"78",45,1.31,2,5,5,125,3,3
"79",45,1.31,3,5,5,125,3,3
"80",45,1.31,4,5,5,125,3,3
"81",15,0.054,1,5,10,125,3,3
"82",15,0.054,2,5,10,125,3,3
"83",15,0.054,3,5,10,125,3,3
"84",15,0.054,4,5,10,125,3,3
"85",25,0.222,1,5,10,125,3,3
"86",25,0.222,2,5,10,125,3,3
